name,link,date,tags,author
Окупанти атакували Богуславку на Харківщині: є загибла та постраждалі,https://hromadske.ua/viyna/224735-okupanty-atakuvaly-bohuslavku-na-kharkivshchyni-ye-zahybli,2024-05-26 15:39:00+03:00,"['обстріл', 'Харківська область', 'російсько-українська війна', 'Харківщина']",Дар'я Головко
В Ізраїлі спалахнули масові протести проти уряду Нетаньягу,https://hromadske.ua/svit/224734-v-izrayili-spalakhnuly-masovi-protesty-proty-uriadu-netaniahu,2024-05-26 14:59:00+03:00,"['Ізраїль', 'протести', 'заручники', 'Беньямін Нетаньягу', 'ХАМАС']",Дар'я Головко
Участь в українському Саміті миру підтвердили понад 80 країн — Зеленський,https://hromadske.ua/viyna/224732-uchast-v-ukrayinskomu-samiti-myru-pidtverdyly-ponad-80-krayin-zelenskyy,2024-05-26 14:00:00+03:00,"['Китай', 'мир', 'США', 'Швейцарія', 'Володимир Зеленський', 'саміт', 'Джо Байден', 'мирні переговори', 'Сі Цзіньпін']",Маркіян Климковецький
Відключення світла 24 травня триватимуть упродовж всієї доби,https://hromadske.ua/suspilstvo/224587-24-travnia-vidkliuchennia-svitla-tryvatymut-uprodovz-vsiyeyi-doby,2024-05-23 18:15:00+03:00,"['Укренерго', 'світло', 'електроенергія', 'критична інфраструктура']",Роман Мельник
"Судді Тандиру, що збив на смерть нацгвардійця на блокпосту, продовжили запобіжний захід",https://hromadske.ua/suspilstvo/224586-suddi-tandyru-shcho-zbyv-na-smert-natshvardiytsia-na-blokpostu-prodovzyly-zapobiznyy-zakhid,2024-05-23 18:08:00+03:00,"['прокуратура', 'ДТП', 'Київ', 'суддя', 'блокпост', 'Олексій Тандир']",Роман Мельник
Удар по Харкову: росіяни знищили обладнання однієї з найбільших друкарень України на €3-4 млн,https://hromadske.ua/suspilstvo/224583-udar-po-kharkovu-rosiiany-znyshchyly-obladnannia-odniyeyi-z-naybilshykh-drukaren-ukrayiny-eurna-3-4-mln,2024-05-23 18:01:00+03:00,"['обстріли', 'Харківська область', 'Харків']",Ірина Сітнікова
США готують новий пакет військової допомоги для України на понад $250 млн — AP,https://hromadske.ua/svit/224582-ssha-hotuiut-novyy-paket-viyskovoyi-dopomohy-dlia-ukrayiny-na-ponad-250-mln-ap,2024-05-23 17:17:00+03:00,"['США', 'військова допомога', 'військова підтримка', 'російсько-українська війна', 'пакет допомоги']",Роман Мельник
"Китай почав військові навчання навколо Тайваню після того, як там минула інавгурація нового президента",https://hromadske.ua/svit/224581-kytay-pochav-viyskovi-navchannia-navkolo-tayvaniu-pislia-toho-iak-tam-mynula-inavhuratsiia-novoho-prezydenta,2024-05-23 17:01:00+03:00,"['Китай', 'військові навчання', 'Тайвань', 'Інавгурація президента']",Роман Мельник
Навіднику по Яворівському полігону присудили 15 років за ґратами з конфіскацією майна — Львівська ОВА,https://hromadske.ua/suspilstvo/224579-navidnyku-po-iavorivskomu-polihonu-prysudyly-15-rokiv-za-gratamy-z-konfiskatsiyeiu-mayna-lvivska-ova,2024-05-23 16:37:00+03:00,[],Ірина Сітнікова
"Був охоронцем російської катівні, а потім ховався в ЗСУ: СБУ затримала колаборанта з Миколаївщини",https://hromadske.ua/viyna/224578-buv-okhorontsem-rosiyskoyi-kativni-a-potim-khovavsia-v-zsu-sbu-zatrymala-kolaboranta-z-mykolayivshchyny,2024-05-23 16:12:00+03:00,"['СБУ', 'Херсон', 'ЗСУ', 'колабораціонізм', 'колаборант']",Роман Мельник
Рятувальники Торецька потрапили під обстріл під час перевезення поранених — МВС,https://hromadske.ua/suspilstvo/224576-riatuvalnyky-toretska-potrapyly-pid-obstril-pid-chas-perevezennia-poranenykh-mvs,2024-05-23 16:07:00+03:00,"['Донецька область', 'обстріли', 'російсько-українська війна']",Ірина Сітнікова
Обстріл Харківщини: кількість постраждалих збільшилась до 24 (ДОПОВНЕНО),https://hromadske.ua/suspilstvo/224577-obstril-kharkova-kilkist-postrazdalykh-zbilshylas-do-20,2024-05-23 15:53:00+03:00,['Харків'],Ірина Сітнікова
Сирський: росіяни зав'язли у вуличних боях за Вовчанськ та зазнають важких втрат,https://hromadske.ua/viyna/224573-syrskyy-rosiiany-zaviazly-u-vulychnykh-boiakh-za-vovchansk-ta-zaznaiut-vazkykh-vtrat,2024-05-23 15:38:00+03:00,"['російсько-українська війна', 'наступ', 'Олександр Сирський', 'Харківщина']",Роман Мельник
Український католицький університет у Львові відкрив власну медичну клініку,https://hromadske.ua/suspilstvo/224569-ukrayinskyy-katolytskyy-universytet-u-lvovi-vidkryv-vlasnu-medychnu-kliniku,2024-05-23 15:35:00+03:00,"['виші', 'медзаклади']",Ірина Сітнікова
Скільки коштувала розробка додатку «Резерв+»? Міноборони дало відповідь,https://hromadske.ua/suspilstvo/224572-skilky-koshtuye-dodatok-rezer-minoborony-dalo-vidpovid,2024-05-23 15:25:00+03:00,"['міністерство оборони', 'мобільний додаток', 'мобілізація', 'розробка', 'Міноборони']",Роман Мельник
"США розкритикували спробу видати ордер на арешт Нетаньягу. Кажуть, що МКС не має юрисдикції",https://hromadske.ua/svit/224418-ssha-rozkrytykuvaly-sprobu-vydaty-order-na-aresht-netaniahu-kazut-shcho-mks-ne-maye-iurysdyktsiyi,2024-05-20 21:04:00+03:00,"['Ізраїль', 'Міжнародний кримінальний суд', 'МКС', 'ХАМАС', 'Палестина']",Ярослав Герасименко
Іспанія анонсувала новий пакет допомоги Україні: будуть танки Leopard та ракети для Patriot,https://hromadske.ua/viyna/224416-ispaniia-anonsuvala-novyy-paket-dopomohy-ukrayini-budut-tanky-leopard-ta-rakety-dlia-patriot,2024-05-20 20:19:00+03:00,"['Іспанія', 'військова допомога', 'танки', 'Рамштайн', 'Patriot']",Ярослав Герасименко
В Україні розширили критерії для бронювання працівників оборонно-промислового комплексу,https://hromadske.ua/ekonomika/224415-v-ukrayini-rozshyryly-kryteriyi-dlia-broniuvannia-pratsivnykiv-oboronno-promyslovoho-kompleksu,2024-05-20 19:46:00+03:00,"['ОПК', 'бронювання', 'Мінстратегпром', 'оборонно-промисловий комплекс']",Ярослав Герасименко
"ЗМІ пишуть, що причиною аварії гелікоптера, на якому летів президент Ірану, є «технічна несправність»",https://hromadske.ua/svit/224414-zmi-pyshut-shcho-prychynoiu-avariyi-helikoptera-na-iakomu-letiv-prezydent-iranu-ye-tekhnichna-nespravnist,2024-05-20 19:38:00+03:00,"['Іран', 'аварія', 'вертольоти', 'гелікоптер']",Юстина Лісова
У Німеччині українського підлітка поранили ножем: лікарям вдалося його врятувати,https://hromadske.ua/svit/224412-u-nimechchyni-ukrayinskoho-pidlitka-pobyly-ta-poranyly-nozem,2024-05-20 19:13:00+03:00,"['напад', 'підлітки', 'Німеччина', 'напад з ножем']",Ярослав Герасименко
"В «Укренерго» розповіли, коли і для кого вимикатимуть світло 21 травня",https://hromadske.ua/suspilstvo/224411-v-ukrenerho-rozpovily-koly-i-dlia-koho-vymykatymut-svitlo-21-travnia,2024-05-20 19:04:00+03:00,"['енергетика', 'Укренерго', 'світло', 'електроенергія', 'відключення електрики', 'енергосистема']",Юстина Лісова
Польща отримала €300 мільйонів кредиту на будівництво «залізного купола»,https://hromadske.ua/svit/224409-polshcha-otrymala-eur300-milyoniv-kredytu-na-budivnytstvo-zaliznoho-kupola,2024-05-20 18:41:00+03:00,"['Польща', 'кредит', 'Залізний купол', 'ППО', 'Туск']",Дар'я Головко
В Україні тестують онлайн-кабінет для міжнародних перевізників: відкрити маршрут можна буде за два тижні,https://hromadske.ua/ekonomika/224410-v-ukrayini-testuiut-onlayn-kabinet-dlia-miznarodnykh-pereviznykiv-vidkryty-marshrut-mozna-bude-za-dva-tyzni,2024-05-20 18:37:00+03:00,"['Міністерство розвитку громад та територій', 'перетин кордону', 'перевізники']",Ярослав Герасименко
У застосунку «Резерв+» може з'явитися направлення на ВЛК: Міноборони планує нову функцію,https://hromadske.ua/suspilstvo/224407-u-zastosunku-rezerv-mozut-ziavytysia-napravlennia-na-vlk-minoborony-planuye-novu-funktsiiu,2024-05-20 17:46:00+03:00,"['мобілізація', 'військкомат', 'Міноборони', 'цифровізація', 'Резерв+']",Юстина Лісова
Австрія виділить €5 мільйонів на відновлення енергоінфраструктури України,https://hromadske.ua/ekonomika/224406-avstriia-vydilyt-eur5-milyoniv-na-vidnovlennia-enerhoinfrastruktury-ukrayiny,2024-05-20 17:25:00+03:00,"['енергетика', 'Австрія', 'фінансова допомога']",Дар'я Головко
Лінія фронту у Вовчанську проходить по річці: українські військові контролюють 60% міста — ОВА,https://hromadske.ua/viyna/224405-liniia-frontu-u-vovchansku-prokhodyt-po-richtsi-ukrayinski-viyskovi-kontroliuiut-60-mista-ova,2024-05-20 17:04:00+03:00,"['Харківська область', 'російсько-українська війна', 'наступ']",Юстина Лісова
Військовозобовʼязані зможуть оновити свої дані онлайн — Міноборони створило застосунок «Резерв+»,https://hromadske.ua/viyna/224265-viyskovozoboviazani-zmozut-onovyty-svoyi-dani-onlayn-minoborony-stvorylo-zastosunok-rezerv,2024-05-17 14:50:00+03:00,"['мобілізація', 'Міноборони', ""військовозобов'язані"", 'Резерв+']",Анетт Абрамова
"Сійярто заявив, що ветував «формулу миру» Зеленського в Раді Європи",https://hromadske.ua/svit/224263-siyiarto-zaiavyv-shcho-vetuvav-myrnu-formulu-zelenskoho-u-radi-yevropy,2024-05-17 14:36:00+03:00,"['Рада Європи', 'Угорщина', 'резолюція']",Ірина Сітнікова
